# indx m1 m2 s1x s1y s1z s2x s2y s2z lnL lnL_err -1
-1.000000000000000000e+00 2.227728243147946685e+01 8.533535785195912382e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.925410680777343941e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.459163511559052750e+01 8.392517390808535538e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.436557243644928406e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.168463661204505755e+01 9.179265159153848330e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.780882914026192907e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.550157802252717332e+01 1.187691511528113786e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.983080299137395286e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.890832813781713639e+01 8.001240813682157338e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.254091228360084415e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.163514805959258069e+01 9.303503033812503986e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.940437770116275260e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.731184819556820287e+01 1.043227006714115035e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.276449515706761304e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.453827404398708012e+01 1.189724707526464265e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.574797710161470263e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.258042824992109843e+01 8.871974637185079615e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.617349327972988249e+00 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.253913513400863522e+01 8.233205800456158130e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.221548144232525601e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.086938790363754492e+01 8.639952891921872435e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.029711565718095585e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.383883468679680107e+01 8.941987010851724094e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.006999856190795981e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.598013561056565379e+01 9.289773092390955611e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.151688331511229535e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.122814452758499115e+01 9.312121290283265296e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.005001240811226353e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.696292057606618187e+01 1.076765146136810358e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.574112449125720559e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.296489165071919913e+01 1.180690458547612742e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.760304319332067848e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 2.334891381964315116e+01 1.095872094433054933e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.319763906414954704e+02 1.000000000000000056e-01 -1.000000000000000000e+00
