# indx mc delta_mc s1x s1y s1z s2x s2y s2z lnL lnL_err -1
-1.000000000000000000e+00 1.457458964394261614e+01 5.782597968479462613e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -9.055264665143065486e+02 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.494822265885383139e+01 1.737967664733029716e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.087364946534202318e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 9.865176267544368827e+00 4.087563958787310270e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.936104771403743996e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.544862227373666030e+01 2.361272886681702876e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.341132215249683213e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.127829094810420685e+01 7.264828828981150233e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.991424033068543054e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.722061671873922961e+01 7.313818554274684747e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.445403821047089878e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.678376797611165827e+01 7.254611591408159921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.143079687036531595e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.477637673134002938e+01 8.056915753648618006e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.001382712592807138e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.035304172138914325e+01 6.928260116780616817e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.814293017299142718e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.571633574528185129e+01 7.395071389485315949e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.485153515186758113e+03 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.096683136672995218e+01 6.704245109947700731e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.308700704439474549e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 8.143204436202577057e+00 3.762325061201358123e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.709966206005233857e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 8.127193764224461603e+00 2.174753506278821469e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -9.425434000103641097e+01 1.000000000000000056e-01 -1.000000000000000000e+00
-1.000000000000000000e+00 1.476062157111886464e+01 9.839275645899285827e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000130494943912481e+03 1.000000000000000056e-01 -1.000000000000000000e+00
